Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
4854,16.82,16.27%,0.0046,0.064783576
4855,24.6,34.89%,0.0031,0.049652886
4856,1.38,33.65%,0.0086,0.007874418
4857,1.77,10.62%,0.0096,0.01518745
4858,16.5,12.03%,0.0047,0.068220735
4859,11.75,2.57%,0.0004,0.00457921
4860,21.24,2.07%,0.0074,0.153922457
4861,6.56,39.89%,0.0017,0.006703467
4862,4.89,13.73%,0.0001,0.00042186
4863,16.34,26.55%,0.0043,0.051607439
4864,3.46,24.59%,0.0065,0.016959709
4865,11.14,30.39%,0.0088,0.068240075
4866,11.18,20.30%,0.008,0.07128368
4867,5.79,12.29%,0.002,0.010156818
4868,20.05,28.26%,0.0085,0.122262895
4869,20.99,22.04%,0.0088,0.144001475
4870,9.39,15.06%,0.001,0.007975866
4871,23.04,34.10%,0.0013,0.019738368
4872,22.54,35.26%,0.0091,0.132790804
4873,11.89,17.23%,0.0008,0.007873082
4874,12.43,32.10%,0.0091,0.076803727
4875,2.67,37.77%,0.0087,0.014455407
4876,8.56,30.17%,0.0045,0.026898516
4877,3,14.00%,0.0073,0.018834
4878,23.26,22.20%,0.0091,0.164676148
4879,11.77,24.47%,0.0015,0.013334822
4880,12.2,39.10%,0.0067,0.04977966
4881,7.54,32.53%,0.0051,0.025944914
4882,11,20.38%,0.0084,0.07356888
4883,17.07,31.41%,0.01,0.11708313
4884,11.26,30.80%,0.0071,0.055322632
4885,15.97,29.53%,0.0067,0.075402195
4886,11.11,5.30%,0.002,0.02104234
4887,3.65,8.29%,0.0044,0.014728626
4888,4,10.16%,0.0002,0.00071872
4889,14.38,16.73%,0.0061,0.073042779
4890,9.34,8.85%,0.0047,0.040013027
4891,23.92,31.73%,0.0073,0.119210343
4892,1.03,10.54%,0.0098,0.009030092
4893,18.93,11.16%,0.0011,0.018499153
4894,3.43,24.83%,0.0089,0.022947146
4895,12.49,2.62%,0.0001,0.001216276
4896,1.25,2.85%,0.0063,0.007650563
4897,5,26.30%,0.0087,0.0320595
4898,13.5,5.87%,0.0026,0.03303963
4899,14.28,35.92%,0.008,0.073204992
4900,7.89,24.96%,0.004,0.023682624
4901,5.81,19.36%,0.0077,0.036075917
4902,4.81,21.43%,0.0075,0.028344128
4903,2.6,33.18%,0.009,0.01563588
4904,11.3,26.73%,0.009,0.07451559
4905,17.12,20.56%,0.0008,0.010880102
4906,0.06,18.62%,0.0022,0.000107422
4907,0.21,27.22%,0.0065,0.000993447
4908,0.95,23.85%,0.0015,0.001085138
4909,10.51,9.84%,0.0088,0.083387181
4910,18.79,16.09%,0.0074,0.116673499
4911,0.53,4.14%,0.0093,0.004724939
4912,5.28,28.43%,0.0028,0.010580909
4913,0.78,4.22%,0.0098,0.007321423
4914,24.22,19.18%,0.0069,0.135064768
4915,14.32,7.87%,0.0013,0.017150921
4916,6.35,9.10%,0.0087,0.050217705
4917,12.22,24.15%,0.002,0.01853774
4918,21.28,19.41%,0.0003,0.005144866
4919,5.34,3.98%,0.0085,0.043583478
4920,21.08,27.54%,0.0029,0.044296247
4921,18.49,16.06%,0.0036,0.055873822
4922,23.49,32.76%,0.0052,0.082132315
4923,0.08,8.64%,0.0092,0.00067241
4924,8.72,8.98%,0.0036,0.028572998
4925,13.78,28.87%,0.0096,0.094096454
4926,14.99,19.18%,0.0052,0.062997574
4927,11.95,16.19%,0.0056,0.056085652
4928,4.86,9.84%,0.0092,0.040312339
4929,2.66,16.55%,0.0036,0.007991172
4930,6.04,22.88%,0.0094,0.043785651
4931,23.65,13.23%,0.0013,0.026677437
4932,18.67,7.63%,0.0057,0.09829923
4933,11.47,32.66%,0.0066,0.050977727
4934,4.42,20.24%,0.0099,0.034901381
4935,24.33,17.30%,0.0019,0.038229729
4936,12.96,7.18%,0.0028,0.033682522
4937,7.62,31.55%,0.0009,0.004694301
4938,0.89,39.36%,0.0055,0.002968328
4939,10.14,37.87%,0.0028,0.01763995
4940,13.55,7.32%,0.0084,0.105488376
4941,0.81,15.22%,0.0015,0.001030077
4942,4.47,1.30%,0.0073,0.032206797
4943,14.59,4.34%,0.0066,0.09211484
4944,3.11,31.84%,0.0077,0.016322275
4945,21.9,2.29%,0.0085,0.181887165
4946,13.1,32.48%,0.0023,0.020343776
4947,19.79,33.66%,0.0083,0.108968094
4948,8.69,18.67%,0.0087,0.06148792
4949,6.01,35.75%,0.0096,0.03706968
4950,12.83,39.20%,0.0092,0.071765888
4951,5.29,35.50%,0.0011,0.003753255
4952,19.37,28.60%,0.0071,0.098194278
4953,16.33,15.66%,0.0067,0.092277237
4954,12.01,36.25%,0.005,0.038281875
4955,9.58,15.33%,0.0066,0.053535148
4956,6.17,21.45%,0.0007,0.003392575
4957,11.53,23.62%,0.0088,0.077498203
4958,20.18,19.32%,0.002,0.032562448
4959,17.55,18.89%,0.0047,0.066903584
4960,19.21,27.79%,0.0061,0.0846164
4961,17.54,30.07%,0.0065,0.079727193
4962,15.5,22.34%,0.0095,0.11435435
4963,4.79,25.51%,0.0079,0.028187761
4964,15.82,22.04%,0.0058,0.071532978
4965,15.75,38.35%,0.0043,0.041752463
4966,14.58,19.57%,0.006,0.070360164
4967,2.1,37.83%,0.0085,0.011097345
4968,8.73,21.43%,0.0093,0.063790197
4969,23.46,32.10%,0.0047,0.074867898
4970,0.42,31.07%,0.0075,0.002171295
4971,1.93,24.71%,0.0033,0.00479522
4972,20.24,17.22%,0.0084,0.140739245
4973,0.72,33.57%,0.0009,0.000430466
4974,9.23,22.05%,0.0028,0.020145398
4975,3.14,33.80%,0.0086,0.017876648
4976,8.99,0.96%,0.0006,0.005342218
4977,18.74,21.62%,0.0029,0.042596395
4978,24.22,31.75%,0.0013,0.021489195
4979,4.95,5.50%,0.0089,0.041631975
4980,5.23,25.31%,0.0079,0.030859667
4981,0.18,1.11%,0.0002,3.56004E-05
4982,22.15,26.75%,0.0021,0.034072238
4983,10.41,23.33%,0.0027,0.021549637
4984,5.9,19.82%,0.0015,0.00709593
4985,11.33,14.94%,0.0046,0.044331571
4986,24.39,10.92%,0.0012,0.026071934
4987,3.94,7.00%,0.0049,0.01795458
4988,15.02,39.81%,0.0032,0.028929722
4989,20.76,39.63%,0.007,0.087729684
4990,15.54,12.95%,0.0078,0.105515046
4991,10.56,8.83%,0.0088,0.084722458
4992,3.13,9.08%,0.0079,0.022481788
4993,5.23,25.29%,0.0039,0.015238599
4994,3.16,38.10%,0.0085,0.01662634
4995,15.11,27.75%,0.0091,0.099344473
4996,1.34,31.86%,0.006,0.005478456
4997,13.3,15.73%,0.0099,0.110958309
4998,15.69,32.75%,0.005,0.052757625
4999,13.41,38.92%,0.0086,0.070441121
5000,0.36,34.12%,0.0093,0.002205662
5001,24.98,17.50%,0.0009,0.01854765
5002,18.41,14.58%,0.0003,0.004717747
5003,9.58,22.90%,0.0025,0.01846545
5004,16.77,24.03%,0.0063,0.080263065
5005,12.29,21.52%,0.0008,0.007716154
5006,16.19,10.92%,0.005,0.07211026
5007,13.71,1.84%,0.0045,0.060559812
5008,14.96,1.38%,0.0021,0.030982459
5009,6.64,26.70%,0.0083,0.040397096
5010,24.26,30.53%,0.0024,0.040448213
5011,6.31,16.61%,0.0046,0.024204781
5012,11.39,20.53%,0.002,0.018103266
5013,8.73,7.56%,0.0092,0.07424411
5014,4.44,37.67%,0.001,0.002767452
5015,22.99,38.73%,0.0062,0.087333033
5016,11.79,1.70%,0.0044,0.050994108
5017,24.11,27.29%,0.0082,0.143749124
5018,7.28,29.21%,0.0001,0.000515351
5019,9.14,5.90%,0.007,0.06020518
5020,16.48,19.87%,0.0059,0.077912002
5021,5.97,38.67%,0.001,0.003661401
5022,12.35,7.14%,0.0062,0.071102902
5023,22.07,2.42%,0.0099,0.213205469
5024,12.76,33.53%,0.0055,0.046648646
5025,18.78,7.96%,0.0077,0.133095362
5026,11.82,2.69%,0.0028,0.032205718
5027,23.27,16.00%,0.0038,0.07427784
5028,16.89,10.02%,0.0062,0.094225256
5029,24.87,5.27%,0.0099,0.233237575
5030,3.06,28.00%,0.0073,0.01608336
5031,6.21,25.42%,0.0099,0.045851038
5032,2.2,19.34%,0.0074,0.013131448
5033,21.67,22.07%,0.0061,0.103013329
5034,17.49,39.38%,0.0021,0.02226512
5035,20.79,12.34%,0.0061,0.111169535
5036,0.2,22.36%,0.0043,0.000667704
5037,1.29,19.31%,0.0012,0.001249081
5038,20.92,35.89%,0.0026,0.034870711
5039,21.14,30.91%,0.0081,0.118305571
5040,21.87,37.42%,0.0022,0.030109741
5041,11.21,0.14%,0.0087,0.097390462
5042,16.25,31.56%,0.0019,0.02113085
5043,21.67,18.69%,0.0077,0.135673053
5044,14.72,5.25%,0.0093,0.12970896
5045,7.36,7.12%,0.0079,0.054004147
5046,3.13,28.20%,0.0039,0.008764626
5047,6.44,24.41%,0.0031,0.015090788
5048,10.48,19.89%,0.0017,0.014272398
5049,20.16,18.58%,0.0063,0.103409914
5050,23.2,17.32%,0.0075,0.1438632
5051,0.05,4.05%,0.0042,0.000201495
5052,0.35,24.65%,0.0056,0.00147686
5053,7.87,0.46%,0.0068,0.053269826
5054,20.84,30.19%,0.0029,0.042190372
5055,18.72,8.71%,0.0014,0.023925283
5056,11.48,16.65%,0.0049,0.046886042
5057,15.49,22.75%,0.0041,0.049060703
5058,16.19,10.04%,0.002,0.029129048
5059,9.86,38.52%,0.0091,0.055163545
5060,8.45,19.45%,0.0083,0.056493743
5061,9.18,7.05%,0.005,0.04266405
5062,3.79,26.58%,0.0038,0.010573948
5063,3.99,17.83%,0.0079,0.025900806
5064,24.68,9.09%,0.0096,0.215391245
5065,16.99,16.94%,0.003,0.042335682
5066,18.3,11.68%,0.0044,0.071115264
5067,4.67,12.56%,0.0083,0.033892618
5068,23.37,13.85%,0.0015,0.030199883
5069,14.9,13.31%,0.0045,0.058125645
5070,6.48,8.48%,0.0083,0.049223117
5071,11.86,25.16%,0.0093,0.082547023
5072,20.97,26.69%,0.005,0.076865535
5073,3.94,0.48%,0.0015,0.005881632
5074,23.61,16.85%,0.0069,0.135458834
5075,12.02,34.30%,0.0054,0.042644556
5076,19.13,12.54%,0.0061,0.102059698
5077,20.88,21.41%,0.0007,0.011486714
5078,23.93,14.00%,0.0027,0.05556546
5079,15.53,20.84%,0.0073,0.0897429
5080,13.79,7.84%,0.0074,0.094045594
5081,9.39,32.61%,0.0011,0.006960713
5082,24.78,17.77%,0.0035,0.071318079
5083,20.38,33.67%,0.0075,0.101385405
5084,8.67,33.10%,0.005,0.02900115
5085,20.13,23.19%,0.006,0.092771118
5086,3.32,8.49%,0.0061,0.018532605
5087,0.98,20.14%,0.006,0.004695768
5088,12.46,34.74%,0.0065,0.052854074
5089,0.78,10.30%,0.0019,0.001329354
5090,8.5,2.80%,0.0037,0.0305694
5091,12.1,6.47%,0.0011,0.012448843
5092,12.05,32.51%,0.0017,0.013825327
5093,1.5,37.91%,0.0049,0.004563615
5094,4.38,37.08%,0.0043,0.011850353
5095,4.84,29.83%,0.0018,0.00611321
5096,9.8,1.75%,0.0098,0.0943593
5097,19.9,14.93%,0.0079,0.133738547
5098,8.24,15.59%,0.0073,0.050774303
5099,11.73,9.08%,0.0064,0.068255462
5100,7.43,11.89%,0.0051,0.033387522
5101,1.8,39.93%,0.0053,0.005730678
5102,0.23,18.68%,0.0066,0.001234438
5103,9.87,15.67%,0.0083,0.069083979
5104,4.24,37.11%,0.0065,0.017332484
5105,22.24,18.63%,0.0053,0.095912446
5106,24,25.52%,0.0023,0.04111296
5107,11.78,11.83%,0.0013,0.013502354
5108,0.56,18.66%,0.0066,0.003006326
5109,3.05,38.21%,0.0028,0.005276866
5110,1.05,32.11%,0.004,0.00285138
5111,19.64,23.42%,0.0075,0.11280234
5112,5.84,19.62%,0.0092,0.043186566
5113,11.69,27.96%,0.0087,0.073266841
5114,20.02,34.73%,0.0005,0.006533527
5115,15.76,17.10%,0.0036,0.047034144
5116,11.22,21.94%,0.0078,0.06831499
5117,8.02,13.60%,0.0052,0.036032256
5118,3.15,37.75%,0.0016,0.0031374
5119,21.27,21.14%,0.0023,0.038579101
5120,23.08,3.01%,0.0024,0.053724701
5121,17.1,31.69%,0.0098,0.114473898
5122,16.95,17.57%,0.0092,0.128541342
5123,19.31,2.50%,0.0024,0.0451854
5124,5.65,38.62%,0.0065,0.022541805
5125,3.61,8.02%,0.0045,0.014942151
5126,2.17,15.32%,0.0069,0.012679136
5127,24.85,20.47%,0.0011,0.021739526
5128,4.43,29.02%,0.0077,0.024211988
5129,4.65,31.10%,0.008,0.0256308
5130,18.73,16.78%,0.0054,0.084170372
5131,17.42,37.01%,0.0022,0.024140288
5132,23.55,24.94%,0.0002,0.003535326
5133,22.24,11.79%,0.0022,0.043159389
5134,17.32,30.36%,0.0016,0.019298637
5135,9.45,3.80%,0.0035,0.03181815
5136,3.37,13.74%,0.0007,0.002034873
5137,3.64,3.09%,0.0067,0.023634411
5138,5.93,11.81%,0.0088,0.04602107
5139,20.83,17.95%,0.0095,0.162364643
5140,7.93,16.88%,0.0092,0.060641027
5141,14.55,36.89%,0.0022,0.020201511
5142,11.14,35.91%,0.0088,0.062828709
5143,4.97,18.50%,0.004,0.0162022
5144,19.19,6.04%,0.0034,0.061305142
5145,3.15,6.56%,0.0096,0.028256256
5146,24.43,21.47%,0.0014,0.026858831
5147,13.99,35.76%,0.0056,0.050328186
5148,7.99,14.74%,0.0018,0.012262093
5149,20.86,24.15%,0.0049,0.077529319
5150,10.39,3.78%,0.0005,0.004998629
5151,2.77,31.84%,0.01,0.01888032
5152,11.38,17.27%,0.0026,0.024478152
5153,22.79,12.62%,0.0014,0.027879463
5154,22.15,24.78%,0.0079,0.131623717
5155,21.85,5.00%,0.0089,0.18474175
5156,0.54,6.17%,0.0092,0.004661474
5157,19.33,8.31%,0.004,0.070894708
5158,13.68,9.10%,0.0097,0.120620664
5159,20.48,16.82%,0.0022,0.037477581
5160,17.83,26.16%,0.0032,0.04213015
5161,12.84,24.07%,0.0048,0.046797178
5162,21.17,27.29%,0.0037,0.056953016
5163,23.74,1.38%,0.0024,0.056189731
5164,18.9,0.55%,0.0025,0.046990125
5165,14.86,26.57%,0.0002,0.00218234
5166,4.56,37.58%,0.0034,0.009677597
5167,10.82,19.09%,0.0073,0.063907573
5168,5.12,13.09%,0.0094,0.041828045
5169,11.97,30.62%,0.0068,0.056472545
5170,10.95,0.38%,0.0018,0.019635102
5171,11.1,2.83%,0.0085,0.091679895
5172,0.43,29.10%,0.002,0.00060974
5173,10.43,4.26%,0.0046,0.045934137
5174,21.04,39.67%,0.0087,0.110432858
5175,18.03,38.58%,0.0086,0.095236624
5176,0.08,36.76%,0.0045,0.000227664
5177,20.91,2.14%,0.0016,0.032740042
5178,16.63,2.96%,0.0091,0.146853543
5179,1.54,9.56%,0.002,0.002785552
5180,5.23,0.25%,0.0053,0.027649703
5181,11.08,1.30%,0.0011,0.012029556
5182,8.44,37.77%,0.0069,0.036240263
5183,15.72,33.24%,0.0048,0.050374426
5184,4.63,15.41%,0.006,0.023499102
5185,0.81,29.67%,0.0032,0.001822954
5186,18.82,8.57%,0.0073,0.12561202
5187,19.79,16.33%,0.0003,0.004967488
5188,21.72,14.04%,0.0066,0.123225379
5189,16.25,28.53%,0.0023,0.026711913
5190,8.64,29.00%,0.0011,0.00674784
5191,10.87,29.53%,0.0084,0.064344748
5192,16.24,28.16%,0.0049,0.057167398
5193,9.33,32.14%,0.0031,0.019627148
5194,15.47,24.68%,0.0023,0.026799609
5195,22.88,1.71%,0.0014,0.031484253
5196,13.79,0.34%,0.0037,0.050849522
5197,9.48,18.50%,0.0055,0.0424941
5198,15.28,8.23%,0.0093,0.130408841
5199,3.06,36.64%,0,0
5200,4.37,23.65%,0.0033,0.011010434
5201,10.67,17.61%,0.0088,0.077360914
5202,19.24,22.83%,0.0067,0.099478304
5203,9.02,35.50%,0.0013,0.00756327
5204,14.41,26.99%,0.0057,0.059968224
5205,16.16,36.45%,0.0007,0.007188776
5206,5.33,21.39%,0.0013,0.005446887
5207,8.47,8.02%,0.0022,0.017139553
5208,17.07,2.46%,0.009,0.149850702
5209,18.7,29.61%,0.0068,0.089507924
5210,3.78,35.58%,0,0
5211,20.24,15.20%,0.0075,0.1287264
5212,22.21,38.70%,0.0002,0.002722946
5213,9.31,24.69%,0.0045,0.031551125
5214,8.86,25.44%,0.0003,0.001981805
5215,1.96,24.46%,0.0038,0.005626219
5216,4.79,36.29%,0.0005,0.001525855
5217,15.71,34.57%,0.0033,0.033920875
5218,1.58,35.24%,0.003,0.003069624
5219,8.63,15.38%,0.0046,0.033592448
5220,6.39,26.63%,0.0064,0.030005395
5221,3.05,32.31%,0.0014,0.002890363
5222,3.44,24.60%,0.0039,0.010115664
5223,6.53,19.49%,0.0058,0.030492357
5224,4.96,30.55%,0.0034,0.011712048
5225,6.21,23.89%,0.0087,0.04111995
5226,1.58,24.11%,0.0031,0.003717092
5227,11.15,17.48%,0.0061,0.056125978
5228,7.64,15.25%,0.0073,0.04726677
5229,24.61,9.29%,0.0097,0.216540191
5230,4.92,11.08%,0.005,0.02187432
5231,8.3,9.57%,0.0074,0.055542106
5232,10.46,8.41%,0.0027,0.025866848
5233,15.25,7.95%,0.0042,0.058958025
5234,1.66,3.31%,0,0
5235,7.45,4.07%,0.0054,0.038592639
5236,10.56,19.11%,0.0028,0.023917555
5237,14.94,6.00%,0.0031,0.04353516
5238,21.64,6.70%,0.0037,0.074703444
5239,7.59,27.17%,0.0078,0.043116817
5240,10.85,12.12%,0.0011,0.010488478
5241,9.09,4.81%,0.0051,0.044129132
5242,0.68,34.77%,0.0009,0.000399208
5243,6.83,9.68%,0.0019,0.011720826
5244,2.14,14.86%,0.0003,0.000546599
5245,18.34,1.06%,0.0027,0.048993109
5246,11.33,4.13%,0.0081,0.087982775
5247,21.6,29.31%,0.0022,0.033591888
5248,3.97,5.33%,0.0001,0.00037584
5249,7.53,8.29%,0.0025,0.017264408
5250,13.94,35.19%,0.0074,0.066855404
5251,7.71,10.09%,0.0027,0.018716565
5252,13.97,24.36%,0.0008,0.008453526
5253,10.67,8.85%,0.0075,0.072942788
5254,21.57,25.26%,0.0072,0.11607421
5255,3.23,23.84%,0.0057,0.014021818
5256,20.79,36.15%,0.004,0.05309766
5257,23.44,16.16%,0.0068,0.133634253
5258,2.75,24.81%,0.0004,0.00082709
5259,14.98,0.45%,0.007,0.10438813
5260,23.56,37.44%,0.0087,0.128230483
5261,18.5,30.73%,0.0002,0.00256299
5262,20.06,22.80%,0.0062,0.096015184
5263,7.24,6.86%,0.0034,0.022927342
5264,7.78,24.60%,0.0013,0.007625956
5265,22.09,12.70%,0.0065,0.125349705
5266,21.02,12.44%,0.0021,0.038650735
5267,24.08,13.97%,0.0026,0.053861662
5268,22.12,20.00%,0.0034,0.0601664
5269,21.12,11.28%,0.0047,0.088067021
5270,0.68,22.96%,0.0044,0.002305037
5271,13.85,10.12%,0.0075,0.09336285
5272,9.02,8.17%,0.0014,0.011596292
5273,19.75,0.99%,0.0081,0.158391248
5274,3.88,32.74%,0.0056,0.014614253
5275,0.26,4.01%,0.001,0.000249574
5276,18.99,6.92%,0.0018,0.031816606
5277,15.5,38.04%,0.003,0.0288114
5278,14.17,2.46%,0.0003,0.004146425
5279,6.07,37.50%,0.0077,0.029211875
5280,22.08,14.67%,0.0003,0.005652259
5281,8.4,16.61%,0.0089,0.062342364
5282,14.6,34.01%,0.0001,0.000963454
5283,1.48,24.58%,0.0047,0.005246215
5284,5.49,35.32%,0.0008,0.002840746
5285,17.3,16.63%,0.0043,0.062018943
5286,1.17,10.32%,0.0093,0.009758081
5287,5.29,9.54%,0.0007,0.003349734
5288,13.81,6.87%,0.0001,0.001286125
5289,14.77,18.33%,0.0074,0.089263677
5290,2.43,6.28%,0.0084,0.019130126
5291,14.62,22.27%,0.003,0.034092378
5292,19.87,2.31%,0.0018,0.034939805
5293,16.09,11.04%,0.0087,0.124528877
5294,7.03,4.79%,0.001,0.006693263
5295,2.62,6.89%,0.0061,0.01488084
5296,6.35,9.99%,0.0008,0.004572508
5297,5.28,14.59%,0.006,0.027057888
5298,19.73,8.25%,0.0051,0.092321603
5299,17.64,39.16%,0.0091,0.097662802
5300,7.39,5.81%,0.0001,0.000696064
5301,24.79,15.88%,0.0046,0.095925401
5302,4.35,30.81%,0.0046,0.013844919
5303,15.14,4.08%,0.0041,0.059541381
5304,11.36,9.73%,0.0008,0.008203738
5305,14.14,10.52%,0.0035,0.044283652
5306,9.62,13.28%,0.0023,0.019187667
5307,18.07,1.52%,0.0047,0.083638079
5308,17.4,25.76%,0.0091,0.117551616
5309,12.42,12.69%,0.0041,0.044459998
5310,9.61,37.49%,0.0023,0.013816585
5311,9.11,20.89%,0.0065,0.046844987
5312,7.97,39.04%,0.0021,0.010202875
5313,17.94,31.31%,0.0053,0.065311826
5314,2.4,7.61%,0.0009,0.001995624
5315,7.93,15.48%,0.0033,0.022118039
5316,2.21,9.61%,0.0021,0.004195
5317,14.8,9.86%,0.0092,0.122734624
5318,16.79,9.21%,0,0
5319,16.88,9.48%,0.0053,0.080982813
5320,10.62,34.12%,0.0051,0.035681926
5321,7.22,13.93%,0.0084,0.052199734
5322,13.45,5.54%,0.0081,0.102909447
5323,18.01,28.37%,0.0094,0.121265292
5324,9.4,9.61%,0.0094,0.079868604
5325,19.06,30.22%,0.0032,0.042560218
5326,17.55,39.76%,0.0095,0.10043514
5327,5.44,2.53%,0.0076,0.040297997
5328,1.23,20.62%,0.0095,0.009275553
5329,7.58,29.13%,0.0046,0.024710952
5330,2.18,18.20%,0.0024,0.004279776
5331,14.52,1.09%,0.0098,0.140744974
5332,22.15,11.21%,0.0016,0.031467176
5333,18.03,22.07%,0.0047,0.066038661
5334,7.97,19.05%,0.0062,0.040000633
5335,9.64,30.79%,0.0093,0.062048149
5336,7.29,18.48%,0.0058,0.034468286
5337,8.83,20.07%,0.0041,0.028937058
5338,20.86,19.98%,0.0059,0.098483815
5339,24.08,5.26%,0.0013,0.02965741
5340,17.21,8.59%,0.0079,0.124280122
5341,9.12,17.74%,0.0071,0.053264995
5342,19.19,13.98%,0.0018,0.029713028
5343,20.54,15.26%,0.0052,0.090509099
5344,5.39,35.90%,0.0079,0.027294421
5345,4.24,5.03%,0.0075,0.03020046
5346,22.36,1.59%,0.0041,0.090218352
5347,0.58,3.49%,0.0054,0.003022693
5348,17.23,28.24%,0.0011,0.013600673
5349,2.05,0.10%,0.0055,0.011263725
5350,4.82,2.39%,0.0063,0.029640253
5351,21.3,4.50%,0.0019,0.03864885
5352,4.52,12.37%,0.0092,0.036440059
5353,22.5,35.43%,0.0086,0.12494295
5354,4.64,33.40%,0.001,0.00309024
5355,9.87,30.09%,0.0013,0.008970152
5356,20.54,18.64%,0.0077,0.128677349
5357,5.09,2.34%,0.0001,0.000497089
5358,17.9,38.64%,0.0088,0.096654272
5359,16.88,13.78%,0.0062,0.090234403
5360,8.92,13.01%,0.0049,0.038021589
5361,4.1,2.16%,0.0064,0.025673216
5362,12.86,12.25%,0.0084,0.09479106
5363,13.5,6.70%,0.0018,0.0226719
5364,12.48,32.95%,0.0025,0.0209196
5365,18.05,4.10%,0.0066,0.11424567
5366,6.04,3.29%,0.0033,0.019276237
5367,12.87,15.95%,0.0003,0.003245171
5368,2.09,4.41%,0.0026,0.005194361
5369,22.89,18.78%,0.0078,0.145011812
5370,16.28,2.03%,0.0024,0.038278838
5371,14,33.99%,0.004,0.0369656
5372,4.97,17.36%,0.0022,0.009035858
5373,10.53,7.89%,0.0007,0.006789428
5374,1.26,6.02%,0.0049,0.005802325
5375,11.11,0.14%,0.0032,0.035502227
5376,4.19,3.79%,0.0037,0.014915436
5377,1.89,29.18%,0.0075,0.010038735
5378,18.77,11.29%,0.0012,0.01998104
5379,9.05,16.57%,0.0078,0.058893237
5380,19.47,20.01%,0.002,0.031148106
5381,21.37,16.35%,0.0031,0.055415616
5382,6.32,39.98%,0.0055,0.020862952
5383,13.94,2.85%,0.0036,0.048753756
5384,22.39,23.52%,0.0078,0.133566202
5385,23.56,9.17%,0.0038,0.081318282
5386,21.24,24.15%,0.0041,0.066053214
5387,2.15,4.16%,0.0059,0.012157304
5388,22.48,35.33%,0.0016,0.023260506
5389,14.59,33.98%,0.0083,0.079948239
5390,4.38,20.05%,0.0033,0.011555973
5391,23.65,23.74%,0.0066,0.119034234
5392,3.48,36.97%,0.0019,0.004167544
5393,12.62,11.72%,0.009,0.100268424
5394,9.18,4.39%,0.0074,0.064949785
5395,24.53,7.27%,0.0084,0.19107202
5396,24.46,4.82%,0.0004,0.009312411
5397,2.08,5.26%,0.0047,0.009261782
5398,6.42,20.07%,0.0057,0.029249584
5399,21.27,35.75%,0.0081,0.110694398
5400,11.5,23.60%,0.0087,0.0764382
5401,19.37,22.10%,0.0024,0.036214152
5402,6,14.43%,0.0018,0.00924156
5403,4.55,15.95%,0.0096,0.03671304
5404,9.47,4.71%,0.0049,0.044217419
5405,23.11,17.78%,0.0085,0.161508857
5406,21.03,1.02%,0.0037,0.077017328
5407,24.53,4.24%,0.0032,0.07516777
5408,9.11,5.30%,0.0027,0.023293359
5409,16.95,24.40%,0.0006,0.00768852
5410,16.54,33.13%,0.0094,0.103966801
5411,0.94,35.83%,0.0048,0.00289535
5412,2.29,6.03%,0.0046,0.0098988
5413,3.58,36.18%,0.0071,0.016221768
5414,8.25,12.18%,0.0043,0.031154145
5415,0.72,15.46%,0.0056,0.003408653
5416,10.28,12.67%,0.0068,0.061047163
5417,17.33,37.44%,0.0017,0.018430802
5418,2.35,5.02%,0.0013,0.002901639
5419,11.83,10.51%,0.0088,0.09316267
5420,23.03,4.51%,0.0001,0.002199135
5421,13.45,31.75%,0.0058,0.053241825
5422,20.84,27.57%,0.0084,0.126793061
5423,11.1,0.09%,0.0098,0.108682098
5424,8.33,24.35%,0.0096,0.060495792
5425,0.19,24.80%,0.0057,0.000814416
5426,13.06,16.27%,0.0008,0.00874811
5427,14.91,20.28%,0.0004,0.004754501
5428,22.3,16.01%,0.0029,0.054316333
5429,21.5,28.88%,0.0095,0.1452626
5430,9.34,28.97%,0.0099,0.0656786
5431,0.15,31.33%,0.0041,0.000422321
5432,7.58,8.82%,0.0075,0.05183583
5433,10.87,31.86%,0.0082,0.060735908
5434,17.23,37.09%,0.0095,0.102974234
5435,6.03,29.98%,0.0071,0.029977663
5436,16.08,20.70%,0.0092,0.117313248
5437,1.28,11.39%,0.0012,0.00136105
5438,14.67,25.73%,0.0067,0.07299924
5439,18.24,12.26%,0.0096,0.15363625
5440,24,35.08%,0,0
5441,2.71,35.37%,0.0005,0.000875737
5442,11.86,39.91%,0.0054,0.03848404
5443,13.42,33.55%,0.0038,0.033886842
5444,8.78,17.69%,0.0079,0.057091862
5445,2.05,3.45%,0.0008,0.00158342
5446,23.76,20.71%,0.0062,0.116803685
5447,20.96,17.59%,0.0028,0.048364781
5448,3.86,7.42%,0.0084,0.030018139
5449,13.33,37.79%,0.0033,0.027365557
5450,23.22,13.94%,0.01,0.19983132
5451,9.92,4.66%,0.0041,0.038776685
5452,17.4,19.80%,0.0031,0.04325988
5453,4.89,9.46%,0.0065,0.028778139
5454,7.3,29.24%,0.0059,0.030476332
5455,12.28,37.64%,0.0087,0.06662293
5456,13.44,18.65%,0.0019,0.020773536
5457,3.17,5.66%,0.0094,0.028111433
5458,21.47,5.12%,0.0095,0.193521992
5459,6.85,8.93%,0.0025,0.015595738
5460,0.67,28.91%,0.0017,0.000809715
5461,21.59,14.14%,0.0036,0.066733826
5462,22.37,15.97%,0.001,0.018797511
5463,9.27,38.94%,0.0058,0.03282952
5464,22.91,27.32%,0.002,0.033301976
